value_clean,pchange_21_20,y_2020,y_2021,pchange_20_19,pchange_19_18,pchange_18_17,pchange_17_16,y_2019,y_2018,y_2017,y_2016,y_2015,y_2014,y_2013,y_2012,y_2011
WELFARE CHECK,435.13513513513516,37,198,270,100,-54.54545454545454,450,10,5,11,2,4,2,11,3,4
ANIMAL IMPOUND (NON-COV),380,5,24,-58.333333333333336,100,-64.70588235294117,-29.166666666666668,12,6,17,24,8,11,10,6,13
COV - ANIMAL NUISANCE - DOG FREE OF RESTRAINT,167.64705882352942,34,91,-37.03703703703704,-39.325842696629216,-23.275862068965516,20.833333333333336,54,89,116,96,118,99,111,98,98
FRAUDULENT USE/ POSS OF IDENTIFYING INFO,153.84615384615387,13,33,-43.47826086956522,43.75,0,-46.666666666666664,23,16,16,30,32,16,3,9,3
ASSIST OTHER AGENCY,128.57142857142858,21,48,23.52941176470588,30.76923076923077,-62.857142857142854,-45.3125,17,13,35,64,54,52,43,60,36
POSSESSION OR DELIVERY OF DRUG PARAPHERNALIA,112.12121212121211,66,140,-57.961783439490446,53.92156862745098,-12.82051282051282,-38.095238095238095,157,102,117,189,149,116,91,83,92
ACCIDENT MOTOR VEHICLE,88.33333333333333,60,113,-15.492957746478872,69.04761904761905,-20.754716981132077,32.5,71,42,53,40,69,70,63,74,75
EMERGENCY DETENTION,77.77777777777779,27,48,-32.5,37.93103448275862,-21.62162162162162,19.35483870967742,40,29,37,31,13,15,16,8,14
WARRANT ARREST - OUT OF JURISDICTION,70.45454545454545,44,75,-38.88888888888889,18.0327868852459,-25.609756097560975,-23.364485981308412,72,61,82,107,88,82,76,75,69
IMPOUNDED VEHICLE,66.66666666666666,129,215,-74.25149700598801,21.307506053268767,-28.17391304347826,-35.46576879910213,501,413,575,891,731,666,552,506,387
WARRANT ARREST - LOCAL,66.66666666666666,30,50,-71.69811320754717,70.96774193548387,-42.05607476635514,5250,106,62,107,2,1,1,NA,NA,NA
SUSPICIOUS PERSON /  VEHICLE / CIRCUMSTANCES,49.107142857142854,224,334,103.63636363636364,5.769230769230769,-37.72455089820359,1.2121212121212122,110,104,167,165,114,132,164,256,391
OPEN DOOR /  WINDOW,43.90243902439025,41,59,-29.310344827586203,-3.3333333333333335,0,-13.043478260869565,58,60,60,69,96,96,110,87,111
DISTURBANCE,40.15748031496063,127,178,30.927835051546392,-14.912280701754385,7.547169811320755,-9.401709401709402,97,114,106,117,74,70,82,102,105
INVESTIGATION /  INFORMATION,22.358722358722357,407,498,0.9925558312655087,-0.7389162561576355,16.666666666666664,9.090909090909092,403,406,348,319,307,265,326,335,491
COV - OPERATING ALARM SYSTEM W/ O PERMIT,21.12676056338028,142,172,0,6.7669172932330826,-20.833333333333336,35.483870967741936,142,133,168,124,120,122,156,118,96
COV - AUTHORIZED HOURS OF CONSTRUCTION,-39.75903614457831,83,50,80.43478260869566,2.2222222222222223,-11.76470588235294,4.081632653061225,46,45,51,49,36,48,56,38,42
COV - ACCUMULATION OF GARBAGE TRASH WEEDS OR OTHER MATTER,-97.22222222222221,36,1,-72.93233082706767,34.34343434343434,-32.6530612244898,19.51219512195122,133,99,147,123,2,1,NA,NA,1
